slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
jeanne,Jeanne,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---JEANNE-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Lanvin,"armud, böyürtkən, limon","freziya, moruq, pion, qızılgül","müşk, səndəl, ənbər",https://www.etirsah.com/az/product/1087,Stokda Var
lhomme-sport,L'Homme Sport,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---L%27HOMME-%28ECLAT-SPORT%29.jpg,,Kişi,14.00,22.00,32.00,Lanvin,"berqamot, istiot, limon, petitgreyn-sitrus-yarpağı","lavanda, müşk-sürvəsi-adaçayı","müşk, palıd-mamırı, indoneziyadan-paçuli",https://www.etirsah.com/az/product/1088,Stokda Var
marry-me,Marry Me,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---MARRY-ME-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Lanvin,"acı-portağal, freziya, şaftalı","jasmin, maqnoliya, qızılgül","müşk, ənbər, virciniya-sidri",https://www.etirsah.com/az/product/1089,Stokda Var
marry-me,Marry Me,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---MARRY-ME-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Lanvin,"acı-portağal, freziya, şaftalı","jasmin, maqnoliya, qızılgül","müşk, ənbər, virciniya-sidri",https://www.etirsah.com/az/product/1090,Stokda Var
marry-me,Marry Me,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---MARRY-ME-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Lanvin,"acı-portağal, freziya, şaftalı","jasmin, maqnoliya, qızılgül","müşk, ənbər, virciniya-sidri",https://www.etirsah.com/az/product/1091,Stokda Var
modern-princess,Modern Princess,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---MODERN-PRINCESS-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Lanvin,"qırmızı-alma, qırmızı-qarağat","ağ-freziya, jasmin","ağ-müşk, ağac-notları, orxideya",https://www.etirsah.com/az/product/1092,Stokda Var
modern-princess,Modern Princess,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---MODERN-PRINCESS-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Lanvin,"qırmızı-alma, qırmızı-qarağat","ağ-freziya, jasmin","ağ-müşk, ağac-notları, orxideya",https://www.etirsah.com/az/product/1093,Stokda Var
rumeur,Rumeur,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LANVIN/LANVIN---RUMEUR-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Lanvin,maqnoliya,"jasmin, portağal-çiçəyi, qızılgül, gavalı, inciçiçəyi","müşk, paçuli, ənbər",https://www.etirsah.com/az/product/1094,Stokda Var
sheikh-al-shuyukh,Sheikh Al Shuyukh,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LATTAFA---SHEIKH-AL-SHUYUKH-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Lattafa,"sidr, aqar-ağacı-ud","lavanda, müşk-sürvəsi-adaçayı, rozmarin","paçuli, vetivera",https://www.etirsah.com/az/product/1095,Stokda Var
sheikh-al-shuyukh,Sheikh Al Shuyukh,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LATTAFA---SHEIKH-AL-SHUYUKH-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Lattafa,"sidr, aqar-ağacı-ud","lavanda, müşk-sürvəsi-adaçayı, rozmarin","paçuli, vetivera",https://www.etirsah.com/az/product/1096,Stokda Var
laura,Laura,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LAURA-BIAGIOTTI---LAURA-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Laura Biagiotti,"berqamot, liçi, qarpız, şaftalı, yaşıl-notlar, gavalı, palisandr-çəhrayı-ağac","bənövşə, freziya, jasmin, orxideya, qızılgül, siklamen, inciçiçəyi","müşk, sidr, səndəl, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/1097,Stokda Var
black-oud,Black Oud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LAURENT-MAZZONE---BLACK-OUD-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Laurent Mazzone Parfums,"hind-qozu, zirə, büxur-ladan","labdanum, aqar-ağacı-ud","sidr, səndəl, vanil, ənbər, kastoreum, tsibetin",https://www.etirsah.com/az/product/1098,Stokda Var
bergamote-22,Bergamote 22,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---BERGAMOTE-22-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Le Labo,"berqamot, qreyfrut","portağal-çiçəyi, vanil, petitgreyn-sitrus-yarpağı","müşk, sidr, vetivera",https://www.etirsah.com/az/product/1101,Stokda Var
fleur-doranger-27,Fleur d'Oranger 27,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---FLEUR-D%27ORANGER-27-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Le Labo,portağal-çiçəyi,petitgreyn-sitrus-yarpağı,"berqamot, limon",https://www.etirsah.com/az/product/1102,Stokda Var
fleur-doranger-27,Fleur d'Oranger 27,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---FLEUR-D%27ORANGER-27-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Le Labo,portağal-çiçəyi,petitgreyn-sitrus-yarpağı,"berqamot, limon",https://www.etirsah.com/az/product/1103,Stokda Var
rose-31,Rose 31,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---ROSE-31-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Le Labo,"qızılgül, zirə","qızılgül, sidr, vetivera","labdanum, müşk, aqar-ağacı-ud, qvayak-ağacı, olibanum",https://www.etirsah.com/az/product/1104,Stokda Var
santal-33,Santal 33,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---SANTAL-33-FOR-UNISEX.jpg,,Unisex,,,,Le Labo,"bənövşə, hil","papirus, süsən, ənbər","dəri, sidr, səndəl",https://www.etirsah.com/az/product/1105,Stokda Yoxdur
santal-33,Santal 33,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---SANTAL-33-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Le Labo,"bənövşə, hil","papirus, süsən, ənbər","dəri, sidr, səndəl",https://www.etirsah.com/az/product/1106,Stokda Var
the-matcha-26,The Matcha 26,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---THE-MATCHA-26-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Le Labo,"acı-portağal, əncir","sidr, vetivera",matcha-çayı,https://www.etirsah.com/az/product/1107,Stokda Var
the-noir-29,The Noir 29,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---THE-NOIR-29-FOR-UNISEX.jpg,,Unisex,,,,Le Labo,"berqamot, əncir, dəfnə-yarpağı","müşk, sidr, vetivera","saman, tütün",https://www.etirsah.com/az/product/1108,Stokda Yoxdur
vetiver-46,Vetiver 46,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LE-LABO---VETIVER-46-FOR-UNISEX.jpg,,Unisex,,,,Le Labo,"vetivera, quayak-ağacı, olibanum","istiot, labdanum, sidr","berqamot, mixək, vanil, ənbər",https://www.etirsah.com/az/product/1109,Stokda Yoxdur
loewe-pour-homme-sport,Loewe pour Homme Sport,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOEWE---LOEWE-POUR-HOMME-SPORT.jpg,,Kişi,,,,Loewe,"istiot, qreyfrut","dəniz-suyu, lavanda, reyhan","müşk, sidr",https://www.etirsah.com/az/product/1110,Stokda Yoxdur
afternoon-swim,Afternoon Swim,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---AFTERNOON-SWIM-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,Louis Vuitton,naringi-mandarin,portağal,"berqamot, zəncəfil, boz-ənbər",https://www.etirsah.com/az/product/1111,Stokda Var
apoge,Apogée,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---APOGEE-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Louis Vuitton,"portağal, tanqerin","jasmin, maqnoliya, qızılgül, inciçiçəyi","ağ-müşk, səndəl, qvayak-ağacı",https://www.etirsah.com/az/product/1112,Stokda Var
apoge,Apogée,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---APOGEE-FOR-WOMEN.jpg,,Qadın,38.00,70.00,112.00,Louis Vuitton,"portağal, tanqerin","jasmin, maqnoliya, qızılgül, inciçiçəyi","ağ-müşk, səndəl, qvayak-ağacı",https://www.etirsah.com/az/product/1113,Stokda Var
attrape-rves,Attrape-Rêves,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---ATTRAPE-REVES-FOR-WOMEN.jpg,,Qadın,38.00,70.00,112.00,Louis Vuitton,"berqamot, liçi, zəncəfil","pion, türk-qızılgülü, kakao",paçuli,https://www.etirsah.com/az/product/1114,Stokda Var
cactus-garden,Cactus Garden,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---CACTUS-GARDEN-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Louis Vuitton,lemonqras,mate,berqamot,https://www.etirsah.com/az/product/1115,Stokda Var
california-dream,California Dream,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---CALIFORNIA-DREAM-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Louis Vuitton,"müşk, naringi-mandarin","armud, ambretta-müşk-əməköməcisi",benzoin,https://www.etirsah.com/az/product/1116,Stokda Var
city-of-stars,City Of Stars,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---CITY-OF-STARS-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Louis Vuitton,"berqamot, laym, limon, naringi-mandarin, qan-portağalı",tiare,"müşk, pudra-notları, səndəl",https://www.etirsah.com/az/product/1117,Stokda Var
cur-battant,Cœur Battant,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---COEUR-BATTANT-FOR-WOMEN.jpg,,Qadın,,,,Louis Vuitton,"armud, ambretta-müşk-əməköməcisi, cascalon","ilanq-ilanq, nərgiz, misir-jasmini","paçuli, mamır",https://www.etirsah.com/az/product/1118,Stokda Yoxdur
contre-moi,Contre Moi,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---CONTRE-MOI-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Louis Vuitton,"berqamot, limon, yaşıl-notlar","armud, maqnoliya, portağal-çiçəyi, qızılgül","vanil, kakao, ambretta-müşk-əməköməcisi, madaqaskar-vanili",https://www.etirsah.com/az/product/1119,Stokda Var
contre-moi,Contre Moi,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---CONTRE-MOI-FOR-WOMEN.jpg,,Qadın,50.00,94.00,152.00,Louis Vuitton,"berqamot, limon, yaşıl-notlar","armud, maqnoliya, portağal-çiçəyi, qızılgül","vanil, kakao, ambretta-müşk-əməköməcisi, madaqaskar-vanili",https://www.etirsah.com/az/product/1120,Stokda Var
dans-la-peau,Dans la Peau,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---DANS-LA-PEAU-FOR-WOMEN.jpg,,Qadın,44.00,82.00,132.00,Louis Vuitton,"ərik, su-notları","jasmin, maqnoliya, nərgiz","dəri, müşk",https://www.etirsah.com/az/product/1121,Stokda Var
toile-filante,Étoile Filante,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---ETOILE-FILANTE-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Louis Vuitton,çiyələk,"jasmin, maqnoliya, osmantus",ağ-müşk,https://www.etirsah.com/az/product/1122,Stokda Var
fleur-du-dsert,Fleur du Désert,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---FLEUR-DU-DESERT-FOR-UNISEX.jpg,,Unisex,44.00,82.00,132.00,Louis Vuitton,"bal, darçın","jasmin, portağal-çiçəyi, qızılgül","ambroksan, aqar-ağacı-ud, ambretta-müşk-əməköməcisi",https://www.etirsah.com/az/product/1123,Stokda Var
imagination,Imagination,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---IMAGINATION-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Louis Vuitton,"portağal, calabrian-berqamotu, sitron","darçın, neroli, zəncəfil","ambroksan, qvayak-ağacı, çin-çayı, olibanum",https://www.etirsah.com/az/product/1124,Stokda Var
limmensit,L’Immensité,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---L%27IMMENSITE-FOR-MEN.jpg,,Kişi,38.00,70.00,112.00,Louis Vuitton,"berqamot, qreyfrut, zəncəfil","müşk-sürvəsi-adaçayı, rozmarin, ətirşah, su-notları","ambroksan, labdanum, ənbər",https://www.etirsah.com/az/product/1125,Stokda Var
limmensit,L’Immensité,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---L%27IMMENSITE-FOR-MEN.jpg,,Kişi,44.00,82.00,132.00,Louis Vuitton,"berqamot, qreyfrut, zəncəfil","müşk-sürvəsi-adaçayı, rozmarin, ətirşah, su-notları","ambroksan, labdanum, ənbər",https://www.etirsah.com/az/product/1126,Stokda Var
matire-noire,Matière Noire,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---MATIERE-NOIRE-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Louis Vuitton,"qara-qarağat, su-notları","jasmin, nərgiz, qızılgül, siklamen","benzoin, paçuli, aqar-ağacı-ud, büxur-ladan",https://www.etirsah.com/az/product/1127,Stokda Var
matire-noire,Matière Noire,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---MATIERE-NOIRE-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Louis Vuitton,"qara-qarağat, su-notları","jasmin, nərgiz, qızılgül, siklamen","benzoin, paçuli, aqar-ağacı-ud, büxur-ladan",https://www.etirsah.com/az/product/1128,Stokda Var
mtore,Météore,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---METEORE-FOR-MEN.jpg,,Kişi,26.00,46.00,72.00,Louis Vuitton,"naringi-mandarin, portağal, calabrian-berqamotu","çəhrayı-istiot, hil, hind-qozu, istiot, neroli",vetivera,https://www.etirsah.com/az/product/1129,Stokda Var
mille-feux,Mille Feux,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---MILLE-FEUX-FOR-WOMEN.jpg,,Qadın,50.00,94.00,152.00,Louis Vuitton,"berqamot, moruq","jasmin, osmantus, qızılgül, süsən, zəfəran","dəri, paçuli, süsən-kökü, səndəl, mamır",https://www.etirsah.com/az/product/1130,Stokda Var
nouveau-monde,Nouveau Monde,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---NOUVEAU-MONDE-FOR-MEN.jpg,,Kişi,,,,Louis Vuitton,"dəri, kakao, aqar-ağacı-ud","karamel, qızılgül, zəfəran","paçuli, vanil, qara-qarağat, ənbər-ağacı, olibanum",https://www.etirsah.com/az/product/1131,Stokda Yoxdur
ombre-nomade,Ombre Nomade,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---OMBRE-NOMADE-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Louis Vuitton,"qızılgül, aqar-ağacı-ud, büxur-ladan","moruq, zəfəran, tozağacı","benzoin, ətirşah, ənbər-ağacı",https://www.etirsah.com/az/product/1132,Stokda Var
on-the-beach,On The Beach,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---ON-THE-BEACH-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Louis Vuitton,"neroli, yuzu","çəhrayı-istiot, kəklikotu, mixək, rozmarin, qum",sərv,https://www.etirsah.com/az/product/1133,Stokda Var
orage,Orage,https://www.etirsah.com/storage/photos/shares/etirler_yeni/sayt-ucun-3.jpg,,Kişi,44.00,82.00,132.00,Louis Vuitton,"berqamot, qreyfrut","istiot, süsən, hedion","ağ-müşk, iso-e-super, paçuli, vetiver-yağı",https://www.etirsah.com/az/product/1134,Stokda Var
orage,Orage,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---ORAGE-FOR-MEN.jpg,,Kişi,,,,Louis Vuitton,"berqamot, qreyfrut","istiot, süsən, hedion","ağ-müşk, iso-e-super, paçuli, vetivera",https://www.etirsah.com/az/product/1135,Stokda Yoxdur
rhapsody,Rhapsody,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---RHAPSODY-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,Louis Vuitton,"palıd-mamırı, inciçiçəyi","jasmin, mate","paçuli, qızılgül, vetivera",https://www.etirsah.com/az/product/1136,Stokda Var
rose-des-vents,Rose des Vents,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---ROSE-DES-VENTS-FOR-WOMEN.jpg,,Qadın,44.00,82.00,132.00,Louis Vuitton,"şaftalı, yaşıl-notlar, qara-qarağat","qızılgül, süsən, türk-qızılgülü, may-qızılgülü","ağ-müşk, bənövşə-yarpağı, istiot, sidr, süsən-kökü",https://www.etirsah.com/az/product/1137,Stokda Var
stellar-times,Stellar Times,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---STELLAR-TIMES-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,Louis Vuitton,portağal-çiçəyi,ənbər,ağac-notları,https://www.etirsah.com/az/product/1138,Stokda Var
symphony,Symphony,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---SYMPHONY-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Louis Vuitton,qreyfrut,berqamot,zəncəfil,https://www.etirsah.com/az/product/1139,Stokda Var
turbulences,Turbulences,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---TURBULENCES-FOR-WOMEN.jpg,,Qadın,44.00,82.00,132.00,Louis Vuitton,jasmin,"maqnoliya, qızılgül, tuberoza","dəri, müşk, səndəl",https://www.etirsah.com/az/product/1140,Stokda Var
ananda,Ananda,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---ANANDA-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,M. Micallef,"armud, limon, gavalı, qara-qarağat","bənövşə, ilanq-ilanq, jasmin, mimoza, qızılgül","ağ-müşk, mimoza, vanil",https://www.etirsah.com/az/product/1141,Stokda Var
aoud,Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---AOUD-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,M. Micallef,qızılgül,"darçın, hind-qozu, səndəl, zəfəran, aqar-ağacı-ud","bal, paçuli",https://www.etirsah.com/az/product/1142,Stokda Var
avant-garde,Avant-Garde,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---AVANT-GARDE-FOR-MEN.jpg,,Kişi,,,,M. Micallef,"berqamot, qreyfrut, sitrus","tütün, kakao, büxur-ladan","dəri, tonka-lobyası, boz-ənbər",https://www.etirsah.com/az/product/1143,Stokda Yoxdur
royal-rose-aoud,Royal Rose Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---HARRODS-ROYAL-ROSE-AOUD-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,M. Micallef,"zəfəran, qara-qarağat","qızılgül, aqar-ağacı-ud","ağ-müşk, paçuli, səndəl",https://www.etirsah.com/az/product/1144,Stokda Var
ylang-in-gold,Ylang in Gold,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---YLANG-IN-GOLD-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,M. Micallef,"acı-portağal, liçi, meyvə-notları, rozmarin, sürvə, yovşan-artemisia, ətirşah, tanqerin","ilanq-ilanq, maqnoliya, nanə, qızılgül, səndəl, inciçiçəyi","kokos, müşk, palıd-mamırı, vanil",https://www.etirsah.com/az/product/1145,Stokda Var
replica-beach-walk,Replica Beach Walk,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-BEACH-WALK-FOR-WOMEN.jpg,,Qadın,20.00,34.00,52.00,Maison Martin Margiela,"berqamot, çəhrayı-istiot, limon","ilanq-ilanq, geliotrop, kokos-südü","benzoin, müşk, sidr",https://www.etirsah.com/az/product/1146,Stokda Var
replica-by-the-fireplace,Replica By the Fireplace,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-BY-THE-FIREPLACE-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Maison Martin Margiela,"çəhrayı-istiot, mixək, portağal-çiçəyi","şabalıd, ardıc, qvayak-ağacı","vanil, peru-balzamı, kaşmeran",https://www.etirsah.com/az/product/1147,Stokda Var
royal-vintage,Royal Vintage,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/sayt-ucun-3.jpg,,Kişi,,,,M. Micallef,"berqamot, çəhrayı-istiot","dəri, sərv","müşk, paçuli",https://www.etirsah.com/az/product/1148,Stokda Yoxdur
replica-jazz-club,Replica Jazz Club,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-JAZZ-CLUB-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Maison Martin Margiela,"çəhrayı-istiot, limon, neroli","müşk-sürvəsi-adaçayı, rom, vetivera","tütün, vanil, stiraks",https://www.etirsah.com/az/product/1149,Stokda Var
replica-jazz-club,Replica Jazz Club,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-JAZZ-CLUB-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Maison Martin Margiela,"çəhrayı-istiot, limon, neroli","müşk-sürvəsi-adaçayı, rom, vetivera","tütün, vanil, stiraks",https://www.etirsah.com/az/product/1150,Stokda Var
aoud-lemon-mint,Aoud Lemon Mint,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---AOUD-LEMON-MINT-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Mancera,"badam, istiot, keşniş, limon, naringi-mandarin","paçuli, aqar-ağacı-ud, misir-jasmini","dəri, müşk, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/1151,Stokda Var
black-gold,Black Gold,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-GOLD-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Mancera,"darçın, hind-qozu, lavanda, sitrus, aqar-ağacı-ud","bənövşə, jasmin, qızılgül, paçuli-yarpağı, dəniz-notları","ağ-müşk, ağac-notları, dəri, vetivera, ənbər",https://www.etirsah.com/az/product/1152,Stokda Var
black-intensitive-aoud,Black Intensitive Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-INTENSIVE-AOUD-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Mancera,"acı-bibər, mixək, şaftalı","bənövşə, jasmin, qızılgül, şəkər, zəfəran","sidr, səndəl, aqar-ağacı-ud",https://www.etirsah.com/az/product/1153,Stokda Var
black-line,Black Line,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-LINE-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Mancera,ədviyyatlar,"dəri, paçuli, qızılgül, ənbər","ağ-müşk, səndəl, qvayak-ağacı",https://www.etirsah.com/az/product/1154,Stokda Var
cedrat-boise,Cedrat Boise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---CEDRAT-BOISE-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Mancera,"berqamot, limon, ədviyyatlı-notlar, qara-qarağat","meyvə-notları, suzanbağı, paçuli-yarpağı","ağ-müşk, dəri, sidr, səndəl, vanil, mamır",https://www.etirsah.com/az/product/1155,Stokda Var
cedrat-boise,Cedrat Boise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---CEDRAT-BOISE-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Mancera,"berqamot, limon, ədviyyatlı-notlar, qara-qarağat","meyvə-notları, suzanbağı, paçuli-yarpağı","ağ-müşk, dəri, sidr, səndəl, vanil, mamır",https://www.etirsah.com/az/product/1156,Stokda Var
gold-intensive-aoud,Gold Intensive Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---GOLD-INTENSIVE-AOUD-FOR-UNISEX.jpg,,Unisex,,,,Mancera,"limon, su-notları","qızılgül, zəfəran, ətirşah, qvayak-ağacı, tik-ağacı","ağ-müşk, ağac-notları, boz-ənbər",https://www.etirsah.com/az/product/1157,Stokda Yoxdur
